name,address,rating,number_of_reviews,affluence
JAHID TEA STORE,"Road, Swarupkathi, Bangladesh",2.5,2.0,0.0
Akalam fakir Bari road,"Unnamed Road, Swarupkathi, Bangladesh",5.0,3.0,0.0
kayum tea store,"Pirojpur - Swarupkathi Rd, Sarengkathi Union, Bangladesh",5.0,1.0,0.0
Street Food Pirojpur (স্ট্রিট ফুড পিরোজপুর),"HXH9+JCQ, Pirojpur Pourashava, Bangladesh",4.7,10.0,0.0
Sormi Fuska House,"HXJ9+5GH, Pirojpur Pourashava, Bangladesh",4.3,26.0,0.0
ফারুক মামা হোটেল এন্ড নিহারি হাউজ,"C-Office Bridge, Pirojpur Pourashava, Bangladesh",5.0,2.0,0.0
রূপসী বাংলা রেস্তোরাঁ,"Near Sonali Bank, Post Office Rd, পিরোজপুর, Bangladesh",4.0,1.0,0.0
ঐশী মিষ্টান্ন ভান্ডার,"HXH9+XR8, Pirojpur Pourashava, Bangladesh",0.0,0.0,0.0
হোটেল আব্বাস,"HXHJ+J5M, Pirojpur Pourashava, Bangladesh",3.6,122.0,0.0
কাচা,"HXMC+JRR, Pirojpur Pourashava, Bangladesh",0.0,0.0,0.0
ঢাকা হাজীর বিরিয়ানী,"HXH9+PCC, Pirojpur Pourashava, Bangladesh",4.0,1.0,0.0
লতিফ হোটেল পিরোজপুর Latif Hotel Pirojpur,"HXHC+XHR, Pirojpur Pourashava, Bangladesh",0.0,0.0,0.0
Md.Abdul Wadud Sarder,"HXHC+JF2, Pirojpur Pourashava, Bangladesh",0.0,0.0,0.0
Padda sweet shop [পদ্না মিষ্টান্ন ভান্ডার],"Raw Market Road, পিরোজপুর 8500, Bangladesh",3.5,4.0,0.0
Star Hotel and Restaurant,"HXCC+6P7, Pirojpur Pourashava, Bangladesh",4.1,145.0,0.0
Anup krishna study line,"হোল্ডিং নাম্বার 136/1, উত্তর শিকারপুর। সাপ্লাই মোর।, পিরোজপুর, Bangladesh",3.0,1.0,0.0
Pizza King Resturent.Pirojpu.,"HXGJ+RM4, Pirojpur Pourashava, Bangladesh",1.0,1.0,0.0
Friends Cafe,"Kacha Bazar Transport Agency, Pirojpur - Bagerhat Hwy, Pirojpur Pourashava, Bangladesh",5.0,1.0,0.0
Maliha First Food And Confectionary,"সদর রোড, Pirojpur Pourashava, Bangladesh",4.5,4.0,0.0
Star Hotel And Restaurant..,"গোপাল কৃষ্ণ মার্কেট, Club Rd, Pirojpur Pourashava, Bangladesh",4.2,16.0,0.0
মুন্না মিষ্টান্ন ভান্ডার,"Bus Stand, Noapara, Bangladesh",0.0,0.0,0.0
Nirob Hotel And Restaurant,"গোপাল কৃষ্ণ মার্কেট, Pirojpur Pourashava, Bangladesh",4.0,1.0,0.0
KING KHAN HOTEL AND RESTURENT,"HXHG+J9F, Pirojpur Pourashava, Bangladesh",0.0,0.0,0.0
Rushni Fuska House,"HXJ9+2R3, Pirojpur Pourashava, Bangladesh",4.4,5.0,0.0
Hajir Biryani,"Pal para Rd, Pirojpur Pourashava, Bangladesh",3.5,2.0,0.0
Hotel Rose Garden,"Post Office Rd, Pirojpur Pourashava, Bangladesh",3.8,81.0,1.0
Subroto Babu,"HXVJ+66Q, Pirojpur Pourashava, Bangladesh",5.0,1.0,0.0
Dilip sarban's house,"pirijpur Bazar bus stand, পিরোজপুর, Bangladesh",5.0,2.0,0.0
Hotel Abbas,"C Office Bus Stand, পিরোজপুর, Bangladesh",3.7,7.0,0.0
Satota store,"HXJ9+5GV, Pirojpur Pourashava, Bangladesh",3.3,3.0,0.0
Cafe Al Madina,"HXHH+QM3, Pirojpur Pourashava, Bangladesh",3.6,71.0,0.0
Hotel Apyayon,"HXH9+QVR, Pirojpur Pourashava, Bangladesh",3.5,31.0,1.0
Vai Vai Hotel & Restaurant,"HXHH+PRX, Pirojpur Pourashava, Bangladesh",3.5,11.0,0.0
Naznin's Cake and Bake House,"Naznin Jahan, SheikhBari Road, Boshonto, pul, Pirojpur Pourashava 8500, Bangladesh",5.0,3.0,0.0
মা রেষ্টুরেন্ট এন্ড ভেরাইটিজ,"FXJ5+G23, Zianagar, Bangladesh",0.0,0.0,0.0
Cafe Sabur - ক্যাফে সবুর,"Morrelganj - Balipara - Zianagar Rd, Zianagar, Bangladesh",4.5,2.0,0.0
Nawab Chinese Restaurant and Party Center,"Shahid Amir Hossen Road (1st floor, আখাউড়া, Bangladesh",4.4,50.0,1.0
"Green Chilli Chinese Restaurant, Akhaura","Akhaura City Bypass Rd, Akhaura 3450, Bangladesh",4.0,146.0,0.0
ইমনের ফাস্টফুড এন্ড রেস্টুরেন্ট,"V674+XCW, Akhaura, Bangladesh",0.0,0.0,0.0
বাশেঁর কৌটা চায়নিজ রেস্টুরেন্টে এন্ড কফি হাউস,"BGB Camp, Helibari Rode, Bangladesh",4.4,13.0,0.0
রুহুল আমিন রেষ্টুরেন্ট,"V686+4M8, Akhaura, Bangladesh",5.0,3.0,0.0
Naiyor Cafe & Restaurant,"Nusrat Tower, Thana Road, আখাউড়া, Bangladesh",4.0,62.0,0.0
লোকমানের মালাই দুধের চা এর দোকান,"Azampur Rd, Bangladesh",1.0,1.0,0.0
Nine Star Hotel,"Z1202, Akhaura 3450, Bangladesh",3.5,151.0,2.0
আহার বিরিয়ানি হাউজ এন্ড জুস কর্নার,"Kachari Road, old post office road, আশূগঞ্জ 3402, Bangladesh",4.3,28.0,0.0
Venice Bangla Restaurent & Pizza King,"2XVQ+X23, Bhairab, Bangladesh",4.0,331.0,0.0
কাশ্মীর শরবত হাউজ,"Bhuiyan Para Rd, Ashuganj, Bangladesh",0.0,0.0,0.0
"Dawat Cafe and restaurant , Ashuganj","Kachary road, Muktijoddha Market, Brahmanbaria 3402, Bangladesh",5.0,5.0,0.0
পড়ন্ত বেলার রেস্টুরেন্ট এন্ড কমিউনিটি সেন্টার,"জিল্লুর রহমান সেতু সংলগ্ন, Bhairab, Bangladesh",5.0,1.0,0.0
আশুগঞ্জ,"Chor Chartola Rd, Ashuganj, Bangladesh",3.5,2.0,0.0
Jaitun Hotel And Restaurant জাইতুন হোটেল এন্ড রেস্টুরেন্ট,"Ashuganj purba bazar, আশূগঞ্জ, Bangladesh",3.8,81.0,0.0
