name,address,rating,number_of_reviews,affluence
Hotel Al-Karim,"V7GX+839, Teknaf, Bangladesh",4.1,30.0,0.0
আমীর সাহেবের জাল বিতান,"V79X+G8C, টেকনাফ, Bangladesh",0.0,0.0,0.0
রিয়েল বাংলা রেস্টুরেন্ট,"Cox's Bazar - Teknaf Hwy, Teknaf, Bangladesh",3.0,1.0,0.0
হারুন ভাত ঘর,"N1, Teknaf, Bangladesh",3.8,114.0,2.0
টেকনাফ উপজিলা আওয়ামীলীগের কায্যালয়,"Teknaf Bus Stop, N1, টেকনাফ, Bangladesh",4.0,5.0,0.0
মা ষ্টোর,"V79V+F6P, Teknaf, Bangladesh",1.0,1.0,0.0
Apon Fastfood & Restaurant,"V882+F92, Teknaf, Bangladesh",3.5,8.0,0.0
Cementerio barcos,"Boat Terminal Rd, Teknaf, Bangladesh",4.0,10.0,0.0
বাদশাহ ভাত ঘর,"N1, Teknaf, Bangladesh",4.7,3.0,0.0
كفتريا عثمان مسكين,"V75X+52C, Teknaf, Bangladesh",4.8,5.0,0.0
Naf Cooling Corner,"Cox's Bazar - Teknaf Hwy, Teknaf, Bangladesh",3.0,1.0,0.0
গাডেন রেস্টুরেন্ট,"Teknaf Bus Station, Opp To Singer Showroom, টেকনাফ 4700, Bangladesh",3.0,3.0,0.0
SYLHET RESTURANT,"Marine City hospital Main Raod, টেকনাফ, Bangladesh",3.0,8.0,0.0
ভাই ভাই কফি শপ,"V7GX+24J, Teknaf, Bangladesh",0.0,0.0,0.0
রিয়েল হট রেস্টুরেন্ট,"বাজার, আলো রিসোর্ট, Bangladesh",3.3,6.0,0.0
Real Bangla Resturants,"Alo shoping complex, টেকনাফ, Bangladesh",3.3,24.0,2.0
Babla store,"Kunapara,Sinmarten, Teknaf, Bangladesh",0.0,0.0,0.0
Hanif Hotel,"Cox's Bazar - Teknaf Hwy, Teknaf, Bangladesh",3.0,2.0,0.0
Ismail Store- চাচার দোকান,"Cox's Bazar - Teknaf Hwy, Teknaf, Bangladesh",4.0,1.0,0.0
Dhaka Hotel,"V78X+M53, Teknaf, Bangladesh",0.0,0.0,0.0
Best fishing Kayak 500,"Teknaf Municilality, Teknaf 4760, Bangladesh",0.0,0.0,0.0
Fanush Restaurant & Biriyani House,"Middle Station, Bangladesh",4.1,50.0,4.0
Foodies Cafe & Catering,"Muhuri para, (Attached with, কক্সবাজার - টেকনাফ মহাসড়ক, কক্সবাজার 4750, Bangladesh",3.9,165.0,0.0
New Basmati Restaurant,"64XM+99C, Bangladesh",3.6,5.0,0.0
ভোজন বাড়ি,"Cox's Bazar - Teknaf Hwy, Bangladesh",3.0,1.0,0.0
রানা ভাইর চটপটি & ফুসকা,"N1, Bangladesh",4.0,1.0,0.0
Chill Out Restaurant,"Cox's Bazar - Teknaf Hwy, Bangladesh",4.8,8.0,0.0
Labib Vaat ghar,"N1, Bangladesh",5.0,3.0,0.0
SAFE HOUSE RESTAURANTS & BIRYANI HOUSE,"64VR+27Q, Bangladesh",4.3,3.0,0.0
INSHALLAH HOTEL,"Middle Station, Bangladesh",5.0,1.0,0.0
SAFE HOUSE RESTAURANTS & BIRYANIHOUSE,"743V+46W, Bangladesh",4.0,1.0,0.0
Rikhon Barua,"Unnamed Road, Bangladesh",0.0,0.0,0.0
আল-মামুন রেস্টুরেন্ট এন্ড বিরিয়ানি হাউজ,"Airtel Tower Ukhia, Cox's Bazar - Teknaf Hwy, Bangladesh",0.0,0.0,0.0
Noor Hotel,"Cox's Bazar - Teknaf Hwy, Bangladesh",4.0,2.0,0.0
Fiesta Restaurant,"Thaingkhali bazar, 4750, Bangladesh",0.0,0.0,0.0
Rahim Store,"Shailerdeva, T & T, Bangladesh",5.0,2.0,0.0
Ma Moni Birani house,"742X+484, Bangladesh",4.0,1.0,0.0
Cafe Rizik,"Station, 4750, Bangladesh",3.7,13.0,0.0
Nuru Restaurant,"64WP+9MJ, Bangladesh",3.9,10.0,0.0
Saif Restaura,"Main Rd, 4750, Bangladesh",4.0,1.0,0.0
Al-Mamun Resturent,"Cox's Bazar - Teknaf Hwy, Bangladesh",4.3,4.0,0.0
Inani Foods & Confectionary (SHAAD),"Airtel Tower, Ukhia, Cox's Bazar District, Cox's Bazar - Teknaf Hwy, Chittagong, Bangladesh",5.0,2.0,0.0
AM2PM Restaurant,"Kalo Sawdagar market. Near Polli Bidyut Office, Cox's Bazar - Teknaf Hwy, Cox's Bazar, Bangladesh",3.5,62.0,0.0
দিল মোহাম্মদ ভাত ঘর,"64RV+R3X, Bangladesh",4.0,2.0,0.0
Nur Hotel(Real),"64WP+8PG, Bangladesh",3.8,401.0,2.0
Noyon,"Barura-Jhalam road, Barura, Bangladesh",5.0,6.0,0.0
Taj Mahal Hotel and Restaurants,"Lalmai-Barura Rd, Barura, Bangladesh",3.9,74.0,0.0
শিয়ালধাইর পূর্ব পাড়া জামে মসজিদ,"শিয়ালধাইর, Barura, Bangladesh",0.0,0.0,0.0
রেড চিলি চাইনিজ রেষ্টুরেন্ট,"93G3+C8F, Barura, Bangladesh",3.6,5.0,0.0
Radhuni Hotel and Restaurant | রাধুনী হোটেল,"Dewra Bus Station Rd, Barura, Bangladesh",0.0,0.0,0.0
Saudia Hotel & Restaurant,"lalmi, Barura Rd, Barura 3500, Bangladesh",4.2,18.0,0.0
এক কাফ কফি,"93G3+7F2, Barura, Bangladesh",3.0,5.0,0.0
Hotel Super Star,"93G4+M5P, Barura, Bangladesh",4.2,36.0,0.0
SAHA SWEETMEAT,"93G3+C9F, বরুড়া, Bangladesh",5.0,1.0,0.0
The Star hotel,"বাস স্টপ, লালমাই -বরুড়া সড়ক, Barura, Bangladesh",0.0,0.0,0.0
Barik Sweets,"Dewra Bus Station Rd, Barura, Bangladesh",5.0,3.0,0.0
Shail Chow,"93G4+W2J, Barura, Bangladesh",3.5,4.0,0.0
জার্মান হোটেল এন্ড রেস্টুরেন্ট,"মধ্যম বাজার, Barura, Bangladesh",2.3,3.0,0.0
মধুর ক্যান্টিন,"Dewra Bus Station Rd, Barura, Bangladesh",4.3,6.0,0.0
Tajmahal Hotel and Restaurant,"Dewra Bus Station Rd, Barura, Bangladesh",3.6,19.0,0.0
গ্রাম বাংলা রিসোর্ট এন্ড কমিউনিটি সেন্টার -Gram Bangla Resort & Community Centre,"Shahebabad, ব্রাহ্মণ পাড়া 3526, Bangladesh",4.9,12.0,0.0
Tasty Food,"J465+W2H, Brahmanpara, Bangladesh",5.0,5.0,0.0
এশিয়ান সুইট এন্ড কেক ঘর,"Burichang - Brahmanpara Rd, Brahmanpara, Bangladesh",4.0,3.0,0.0
হাজী বিরিয়ানী হাউস,"J464+WQC, Brahmanpara, Bangladesh",5.0,3.0,0.0
Noor Hotel & Restaurant; নূর হোটেল এন্ড রেস্টুরেন্ট,"Tatera-Gopalnogor Rd, Brahmanpara, Bangladesh",0.0,0.0,0.0
অরিজিনাল ঢাকাই কাবাব,"J474+GCH, Brahmanpara, Bangladesh",5.0,1.0,0.0
বিবিয়ানা রেস্তোঁরা (Bibiana Restaurant),"J474+4QF, Brahmanpara, Bangladesh",4.8,5.0,0.0
Etadi Restaurant,"J4F2+2M9, Brahmanpara, Bangladesh",4.0,2.0,0.0
Shopnodip coffee House & Resort; স্বপ্নদীপ কিফ হাউজ এন্ড রিসোর্ট,"Tatera-Gopalnogor Rd, Brahmanpara, Bangladesh",3.7,17.0,0.0
পানসী রেস্তোরা,"Cumilla 3520, Bangladesh",4.3,58.0,0.0
Norjahan Hotel and Restaurant,"Burichang-Comilla B:Baria Bypass Rd, Burichang, Bangladesh",4.0,337.0,2.0
মনির হোসেন ভুটমুরি,"Bus Stop, Comilla - Burichang Rd, Burichang, Bangladesh",3.8,6.0,0.0
ফুড পার্ক বুড়িচং এরশাদ ডিগ্রি কলেজ সংলগ্ন,"Comilla - Burichang Rd, Burichang, Bangladesh",4.0,1.0,0.0
montaz hotel&restitent,"Bus Stop, Comilla - Burichang Rd, Burichang, Bangladesh",0.0,0.0,0.0
বুড়িচং স্টার কাবাব,"Comilla - Burichang Rd, Burichang, Bangladesh",5.0,2.0,0.0
Sokal Sondha Hotel & Restaurant,"H43H+82Q, Burichang, Bangladesh",4.2,24.0,1.0
Dada Vai Hotel & Restaurant,"Comilla - Burichang Rd, Burichang, Bangladesh",4.0,24.0,0.0
রংধনু রেস্তোরাঁ,"Bazar, Burichang 3520, Bangladesh",5.0,2.0,0.0
Ershad chotpoti and fuskha,"Road, Burichang, Bangladesh",4.0,1.0,0.0
El Clasico,"Unnamed Road, Burichang, Bangladesh",3.7,3.0,0.0
মেসাস সৈয়দ আলী,"Road, Burichang, Bangladesh",0.0,0.0,0.0
Bosondhara Hotel & Restaurant,"Burichong Rd, বুড়িচং, Bangladesh",3.7,56.0,1.0
মক্কা রেস্তোরা,"Baniapotty Rd, Chandina, Bangladesh",4.1,16.0,0.0
মমতা কফি হাউস,"F2FF+3RF, Chandiara, Bangladesh",4.1,20.0,0.0
মক্কা হোটেল এন্ড রেস্টুরেন্ট,"F2Q5+G2C, Chandina, Bangladesh",4.0,2.0,0.0
Tasty Bites,"Near court masjid, চান্দিনা, Bangladesh",5.0,6.0,0.0
Tastytreat - Chandina,"F2Q2+4QG, Chandina, Bangladesh",3.8,4.0,0.0
"MK FOOD ROYAL(WESTERN,ORIENTAL & CONTINENTAL FOOD)","Dhanshiree - Bus Stand Rd, Chandina, Bangladesh",3.9,12.0,0.0
যামুনা হোটেল,"F2Q3+CGV, Chandina 3510, Bangladesh",4.5,2.0,0.0
Royal Restaurant & Doi Fuchka House,"Chandina, Bangladesh",4.3,8.0,0.0
The best Fast Food Meal Chandina,"F2Q4+77G, Chandina, Bangladesh",0.0,0.0,0.0
Brother's Cafe,"Chandina Grand Trunk Rd, Chandina, Bangladesh",4.2,6.0,0.0
সোহাগ,"F2Q5+M9W, Chandina, Bangladesh",0.0,0.0,0.0
Mk Food,"Chandina Kazi Bari, চান্দিনা, Bangladesh",5.0,1.0,0.0
Shihon part,"কোর্ট মসজিদ, Upazila Rd, Chandina, Bangladesh",0.0,0.0,0.0
Onnorokom restuarant,"Chandina, Bangladesh",3.0,2.0,0.0
MD Fahim kazi,"F2P8+GPH, Chandina, Bangladesh",0.0,0.0,0.0
Chandu Hotel,"Dhaka - Chittagong Hwy, Chandina, Bangladesh",4.2,13.0,0.0
গাউছিয়া হোটেল এন্ড রেষ্টুরেন্ট,"Z1008, Chandina 3510, Bangladesh",3.4,9.0,0.0
Hasam fakir,"Chandina - Srimontopur Rd, Chandina, Bangladesh",0.0,0.0,0.0
Best food,"Chandina Grand Trunk Rd, Chandina, Bangladesh",3.6,39.0,0.0
onnarakam doi foska & restaurant,"F2Q5+M9W, Chandina, Bangladesh",5.0,1.0,0.0
Deshpriyo Mistanno Vander,"Chandina Grand Trunk Rd, Chandina, Bangladesh",5.0,1.0,0.0
Al-Madina Restaurant,"F2Q3+38P, Chandina, Bangladesh",3.7,88.0,0.0
শাহ ফাতেহাবাদী রেষ্টুরেন্ট,"Tamta -Khasarikhola Chumoni, Chandina 1236, Bangladesh",0.0,0.0,0.0
ST Online Pizza,"F2P5+9G4, Chandina, Bangladesh",4.7,3.0,0.0
দেশপ্রিয় মিস্টান্ন ভান্ডার,"Chandina Grand Trunk Rd, Chandina, Bangladesh",0.0,0.0,0.0
Roshona Bilash,"Thana Gate, Chandina, চান্দিনা, Bangladesh",3.6,30.0,0.0
Vagabati Mistanna Bhander,"F2Q5+M9W, Chandina, Bangladesh",0.0,0.0,0.0
Dhaka Biriyani House,"Chandina Grand Trunk Rd, Chandina, Bangladesh",3.8,5.0,0.0
"New Rajmoni Hotel Chandina, Hazi Jobbar Charmen Market","F2Q3+FV9, Chandina, Bangladesh",0.0,0.0,0.0
শাওন ব্রয়লার হাউজ (মুরগি দোকান),"Nabiabad-Barkamta Rd, Chandina, Bangladesh",5.0,4.0,0.0
মেসার্স ওয়াহেদ ট্রেডাস বাগমারা বাজার,"Borkamta, মোহনপুর, Bangladesh",5.0,2.0,0.0
Easin Foraze,"Chandina Bus Stop, চান্দিনা 3510, Bangladesh",3.4,5.0,0.0
মাসুম হোটেল এন্ড রেষ্টুরেন্ট,"বেলাশ্বর, অট্টালিকা, Sultanpur, Bangladesh",0.0,0.0,0.0
ভুতের বাড়ি চাইনিজ রেস্তোরা,"Goru Bazar Rd, khan bari road , Fol-kori kindergarten biporit side, চান্দিনা, Bangladesh",2.9,10.0,0.0
Bangal Muri,"Rajar Bazar to Kadoir Bazar Rd, Bangladesh",4.5,15.0,0.0
হোটেল জোনাকী,"লালার পোল, Bangladesh",0.0,0.0,0.0
রাজিব,"Dhaka - Chittagong Hwy, Bangladesh",0.0,0.0,0.0
Agarwal Restaurant,"872R+36X, Bangladesh",0.0,0.0,0.0
MD Abul kasham bari,"77QP+VG6, Bangladesh",3.0,3.0,0.0
Al.Madina hotel and restaurant,"8749+8W9, Bangladesh",3.0,2.0,0.0
সততা ট্রাক হোটেল লালারপোল,"77WR+4P8, Bangladesh",4.0,2.0,0.0
KHADIJA INN Hotel & Resturant,"Dhaka - Chittagong Hwy, 3550, Bangladesh",3.9,7.0,0.0
bai bai hotel and restaurant,"Chauddagram Upazila, Bangladesh",1.0,2.0,0.0
ভাই ভাই হোটেল অ্যান্ড রেস্টুরেন্ট,"লালার পুল ব্রিজ ছুপুয়া চৌদ্দা গ্রাম কুমিল্লা।, Bangladesh",0.0,0.0,0.0
Tasty Dots,"1085, New Market, কুমিল্লা 3500, Bangladesh",4.5,13.0,0.0
Bhai Bhai Chap Ghar,"Ranirbazar road, কুমিল্লা মডার্ণ স্কুল, কুমিল্লা 3500, Bangladesh",4.6,44.0,0.0
Luncheon Restaurant & Party Center,"Khan Zaman Tower, Jhawtala 3500, কুমিল্লা 3500, Bangladesh",4.3,100.0,0.0
Chapli Kabab King- চাপলি কাবাব কিং,"কামাল উদ্দিন চৌধুরী রোড, Comilla, Bangladesh",4.6,19.0,0.0
Makers,"noor mansion (2nd floor),newmarket south gate, 3500, কুমিল্লা, Bangladesh",4.3,116.0,0.0
Jokers',"Ram Ghat, বিজরা - লাকসাম সড়ক, Comilla, Bangladesh",4.2,156.0,0.0
Amader Kitchen OceanScape,"Nanua Dighi Rd, Comilla, Bangladesh",4.4,11.0,0.0
Cafe Black & White,"Bagichagaon fire service road, কুমিল্লা, Bangladesh",4.5,14.0,0.0
Dawat Restaurant,"Police Lines Rd, Comilla 3500, Bangladesh",3.9,246.0,2.0
Al-Amin Barobi Hotel & Restaurant,"In Front Cumilla Railway, Station Road, Railway Station, Cumilla, কুমিল্লা 3500, Bangladesh",4.0,284.0,2.0
Golden Spoon Buffet Restaurant and Convention Center,"কাজী জহিরুল কাইয়ুম সড়ক, Comilla 3500, Bangladesh",4.2,355.0,2.0
Best food,"শহীদ খাজা নিজামুদ্দিন রোড, Comilla, Bangladesh",5.0,1.0,0.0
Family Dine Restaurant,"Plot-383, Beside Comilla Mohila Moha Biddaloy, কুমিল্লা 3500, Bangladesh",4.1,14.0,0.0
ZENZA CAFE,"zilla school road, Comilla 3500, Bangladesh",4.1,39.0,0.0
Badhua Food Village,"Opposite of Cumilla Zilla School, Zilla School Road, Comilla 3500, Bangladesh",4.0,298.0,2.0
Kabab Station,"Thomson Bridge, Thomson , Comilla Branch, কুমিল্লা 3500, Bangladesh",4.2,393.0,2.0
Cup's & Hotbite,"Cumilla, Bangladesh",4.0,350.0,2.0
Appyan Hotel & Restaurent,"Railgate, Comilla 3500, Bangladesh",4.1,20.0,0.0
DARBAR,"F59J+6CH, Faujdari road ( Opposite of missionary school, কুমিল্লা 3500, Bangladesh",4.1,38.0,0.0
Sandu Hotel & Restaurant,"Tomsom Bridge, 931 Laksham Rd, Comilla, Bangladesh",3.9,38.0,0.0
Cafe Sailor,"কাজী জহিরুল কাইয়ুম সড়ক, Comilla 3500, Bangladesh",3.9,547.0,2.0
PC Restora,"CML04, Press Club Vabon, Beside of Comilla Shilpokola Academy Dhaka, Central Comilla, Bypass Rd, Comilla 3500, Bangladesh",4.1,612.0,2.0
Aloo Mama,"South Chartha Choumuhni, City Corporation, Comilla 3500, Bangladesh",3.9,52.0,0.0
মোঃ ইয়াসিন মিয়া হোটেল,"কুমিল্লা তেলিকোনা, কুমিল্লা, Bangladesh",0.0,0.0,0.0
EL CLASICO 2.0 Jail,"F57G+V6M, Cumilla, Bangladesh",4.0,395.0,2.0
Green Castle Restaurant,"H, 491/437, 4th Floor, Artisan Nasir Tower, Top Of City Bank, Nazrul Avenue Road, Comilla 3500, Bangladesh",3.9,158.0,2.0
AlmaZ Kitchen,"City market, Comilla, Bangladesh",4.1,11.0,0.0
Silver Spoon thai chinese Fast Food & Cake House,"শহীদ খাজা নিজামুদ্দিন রোড, Comilla, Bangladesh",4.0,221.0,2.0
Home Cafe,"Munshi Altaf Ali Rd, Comilla, Bangladesh",5.0,2.0,0.0
Yum Yum Ltd,"Near Cumilla New Market, A.K. Fazlul Haque, Kandirpar, New Market, Comilla 3500, Bangladesh",3.8,602.0,2.0
Hafsa Restaurant and Sea Food - হাফসা রেস্তোরাঁ এন্ড সী ফুড,"F57G+P7F, Cumilla, Bangladesh",4.3,4.0,0.0
Fusion Cafe,"1st Floor, S.A Bari Market, Infront Of Police Line School Police Line Road, Police Line, Comilla 3500, Bangladesh",3.9,429.0,0.0
সাপধরি ইউনিয়ন পরিষদ,"Comilla Bypass Rd, Comilla, Bangladesh",0.0,0.0,0.0
The House,"S Chartha Local Rd, Comilla, Bangladesh",0.0,0.0,0.0
কাশ্মীরি মটকা এন্ড তান্দুরী চা,"Mogbari Rd, Comilla, Bangladesh",5.0,1.0,0.0
Bangla Kitchen Restaurant,"Near D.C Office, Fauzdari, Court Rd, Comilla 3500, Bangladesh",3.9,8.0,0.0
Pizza Dot,"Ground Floor, Opposite Of Green House Nursery, 460/2 Dr Akhtar Hameed Khan Rd, Comilla 3500, Bangladesh",4.0,453.0,2.0
Coffee Buzz,"S. A. Bari Market, Station Rd, Comilla, Bangladesh",3.9,346.0,0.0
হায়দ্রাবাদী বিরিয়ানী হাউজ,"Shop 1067, 1st Floor, New Market, কুমিল্লা, Bangladesh",0.0,0.0,0.0
Bangla Restora,"শহীদ মুন্সী কবির উদ্দিন রোড, Comilla 3500, Bangladesh",3.8,659.0,2.0
Saym9n,"F57X+536, Cumilla, Bangladesh",0.0,0.0,0.0
Hungry Helpers,"Madina Mosjid, Comilla 3500, Bangladesh",0.0,0.0,0.0
King Restora,"560, 12 Police Lines Rd, 3500 Police Lines Rd, Comilla 3500, Bangladesh",3.7,41.0,0.0
Farzana's Kitchen,"114, Block#A, Ward#03, Tua Housing, Victoria Degree College Rd, Comilla, Bangladesh",4.5,4.0,0.0
HUNGRY ENGINE,"EPZ 1st Gate Rd, Comilla, Bangladesh",4.6,7.0,0.0
FoodPanda,"Thakur Para Rd, Comilla, Bangladesh",4.0,5.0,0.0
City Point Restaurant,"Somobay Bank Market, Near Of Pubali Circle, Nazrul Avenue Road, Comilla 3500, Bangladesh",3.8,156.0,2.0
Arab Restaurant and Chinese,"2nd Floor, Laksham Rd, Comilla 3500, Bangladesh",3.7,64.0,0.0
Modina Restaurant,"F54X+3W6, Cumilla, Bangladesh",3.0,1.0,0.0
Arabian Sweet and Restaurant,"F57V+2Q7, Cumilla, Bangladesh",3.7,77.0,0.0
রাসেল এর হোটেল,"Shaktala, কুমিল্লা, Bangladesh",4.0,1.0,0.0
"Ayaat restaurant, আয়াত রেস্তোরা","মোঃ শাহজাহান সড়ক, Comilla, Bangladesh",4.0,3.0,0.0
Food lover's,"433 Nazrul Ave, Comilla 3500, Bangladesh",0.0,0.0,0.0
"Icy Spicy, Cumilla","F57G+8R2, Cumilla, Bangladesh",3.9,301.0,0.0
Nawra's Mom Kitchen Cumilla,"Green View Rd, Comilla, Bangladesh",5.0,2.0,0.0
Chamir Hotel and Restaurant,"3500 Kanesh Tala - Comilla Rd, Comilla, Bangladesh",0.0,0.0,0.0
Food Express,"Comilla Kotbari Rd, Comilla 3500, Bangladesh",3.7,3.0,0.0
Selima Restaurant,"F5CJ+WRP, Cumilla, Bangladesh",0.0,0.0,0.0
Saleha's kitchen,"Mogbari Rd, Comilla, Bangladesh",5.0,8.0,0.0
New Shawkot Liaquat Restora,"New Market, শহীদ মুন্সী কবির উদ্দিন রোড, Comilla, Bangladesh",3.0,1.0,0.0
Chondu Hotel and Restaurant,"Near Railgate, Paduar Bazar Bishwa Road, Rail Gate, Dhaka - Chittagong Hwy, Comilla 3500, Bangladesh",4.1,2409.0,1.0
নির্জন ফুড পার্ক - Nirjon Food Park,"রেলগেইট সংলগ্ন।, পদুয়ার বাজার বিশ্ব রোড, Bangladesh",4.2,107.0,0.0
ভিন্ন স্বাদ নাস্তা বিরানি এন্ড রেস্টুরেন্ট,"C54F+F4P, Bangladesh",5.0,2.0,0.0
Food & Bite,"Comilla Biswa Rd Flyover, Paduar Bazar Bishwa Road, Bangladesh",0.0,0.0,0.0
সাত্তার স্টোর,"Comilla Sadar Dakshin Upazila, Paduar Bazar Bishwa Road 3570, Bangladesh",0.0,0.0,0.0
হোটেল আয়োজন,"C59C+QRX, Paduar Bazar Bishwa Road, Bangladesh",0.0,0.0,0.0
রাজস্থান বিরিয়ানী এন্ড রেস্টুরেন্ট,"বিসমিল্লাহ্ সুপার মার্কেট, Paduar Bazar Bishwa Road, ঢাকা - চট্টগ্রাম মহাসড়ক, কুমিল্লা, Bangladesh",0.0,0.0,0.0
New Bismillah Resturent (mofizer hotel),"R141, Paduar Bazar Bishwa Road, Bangladesh",0.0,0.0,0.0
City Inn Restaura & Sweets,"Lalmai Hwy, Paduar Bazar Bishwa Road 3500, Bangladesh",4.1,11.0,0.0
Gausia Restaurant,"Laksham Rd, Comilla 3500, Bangladesh",3.8,9.0,1.0
Hotel MahSahAllah InSahAllah (মাশাআল্লাহ ইনশাআল্লাহ হোটেল),"N1, Paduar Bazar Bishwa Road, Bangladesh",4.0,1.0,0.0
Green View Hotel,"Chandosree, Miah bazar, Comilla 3500, Bangladesh",3.6,7.0,0.0
Bhai Bhai Hotel & Restaurant,"Beside Baitul Aman Jame Mosque, Kochua Choumohuni, Comilla 3500, Bangladesh",2.0,1.0,0.0
Billal Hotel and Restaurant,"Near Sadar Police Station, Bishwa Road, Paduar Bazar Bishwa Road 3500, Bangladesh",1.0,1.0,0.0
Hotel Noorjahan,"Holding No. 618, Near Dhaka - Chittagong Hwy, Comilla 3500, Bangladesh",3.5,17655.0,2.0
"রসনা বিলাস রেস্তোরাঁ ,, কুমিল্লা","C59F+54J, Paduar Bazar Bishwa Road, Bangladesh",0.0,0.0,0.0
Al-Madina Hotel & Restaurant,"Near Sonali Bank, Poduya Bazar Biswa Road Poduya Bazar, Paduar Bazar Bishwa Road 3500, Bangladesh",5.0,1.0,0.0
ফারজানা হোটেল,"Comilla - Chittagong Highway Road, Uttar Rampura, Comilla 3500, Bangladesh",2.0,1.0,0.0
Mohanogor Restaurant & Party Center,"C59C+6W5, Paduar Bazar Bishwa Road, Bangladesh",3.2,5.0,0.0
Rajni Hotel and Restaurant,"Paduar Bazar Biswa Road, Comilla 3500, Bangladesh",3.8,20.0,0.0
Shahrasti Hotel and Restaurant,"Near Agrani Bank Limited, Paduar Bazar Bishwa Road, Comilla 3500, Bangladesh",3.9,8.0,0.0
Bhojon Bilash Restaurant,"1st Floor, Nahar Market, Laksham Road, Noagaon Chowmohoni, Comilla 3500, Bangladesh",2.7,3.0,0.0
Ajmir Hotel & Restaurant,"Beside Bangladesh Krishi Bank, Laksam Road, Noagaon, Chowmohoni, Sador South, Comilla 3500, Bangladesh",2.9,7.0,0.0
তৃপ্তি হোটেল এন্ড রেস্টুরেন্ট,"Laksham Rd, Comilla, Bangladesh",2.3,3.0,0.0
Islamiya (Abasik) Hotel & Restaurant,"Near Sonali Bank, Poduya Bazar Biswa Road Poduya Bazar, Paduar Bazar Bishwa Road 3500, Bangladesh",0.0,0.0,0.0
Bismillah Hotel & Restaurants,"Beside South Sador Police Station, Paduar Bazar Bishwa Road ঢাকা, চট্টগ্রাম মহাসড়ক, Comilla 3500, Bangladesh",3.2,50.0,0.0
Bangla Kitchen Restaurant,"Daudkandi Bazar Road, Near Dutch-Bangla Bank ATM, Daudkandi, Bangladesh",3.9,109.0,0.0
তাহের হোটেল এন্ড স্টোর,"GPMG+7HP, Daudkandi, Bangladesh",3.5,2.0,0.0
Cafe corner,"N1 Dhaka - Chittagong Hwy, কুমিল্লা, Bangladesh",4.4,5.0,0.0
Talpata Restaurant,"Daudkandi Bazar Rd, Daudkandi, Bangladesh",3.8,39.0,0.0
Mim Mim,"GPQ7+6G7, দাউদকান্দি, Bangladesh",0.0,0.0,0.0
হাজী বিরিয়ানি দাউদকান্দি,"Daudkandi Bazar Road, Daudkandi, Bangladesh",5.0,1.0,0.0
Misty Mukh,"Daudkandi Bazar Road, Daudkandi, Bangladesh",5.0,2.0,0.0
"নিরিবিলি রেস্তোরাঁ,দাউদকান্দি","Nasir Chairman Bary, Daudkandi Bazar Road, দাউদকান্দি, Bangladesh",3.8,63.0,0.0
Noyon priyota hotall,"Daudkandi Bazar Road, Daudkandi, Bangladesh",0.0,0.0,0.0
MdMasud,"Daudkandi Bazar Rd, Daudkandi, Bangladesh",0.0,0.0,0.0
Janata Mistanno Bhander,"Daudkandi Upazila, Daudkandi, Bangladesh",3.9,11.0,0.0
Molla Hotel,"N1, Daudkandi, Bangladesh",4.0,10.0,1.0
Cafe Krishnochura,"GPQ7+478, Daudkandi, Bangladesh",5.0,1.0,0.0
ফাইজা ফাস্ট ফুড কর্ণার,"Unnamed Road, Daudkandi, Bangladesh",4.3,4.0,0.0
Ghoroya Hotel,"N1, Daudkandi, Bangladesh",2.5,2.0,0.0
Vandari Hotel,"N1, Daudkandi, Bangladesh",3.8,114.0,1.0
ঘরের স্বাদ রেস্তোরাঁ,"Debidwar 3530, Bangladesh",4.2,43.0,0.0
HOT AND SPICY RESTAURANT,"Rahmania Bhaban, Debidwar, Bangladesh",0.0,0.0,0.0
Koyla Restora,"Mannan Super Market, Debidwar, Bangladesh",3.9,52.0,0.0
বইসা যান,"শান্তি রোড, Debidwar 3530, Bangladesh",5.0,1.0,0.0
DFC (চাইনিজ এন্ড ফাস্টফুড),"3530 Debidwar-Gonaighar Rd, Debidwar, Bangladesh",4.0,11.0,0.0
You Tube,"Dhaka 4343, Bangladesh",0.0,0.0,0.0
Hotel Dayna (হোটেল ডায়না),"3530 Debidwar-Gonaighar Rd, Debidwar 3530, Bangladesh",4.0,39.0,0.0
সরকার হাউজ,"JX2G+HRP, Debidwar, Bangladesh",0.0,0.0,0.0
Azad Restaurant,"Debidwar Upazila, Debidwar 3530, Bangladesh",5.0,9.0,0.0
মা মেয়ের রান্নাঘর,"Comilla - Sylhet Hwy, Debidwar, Bangladesh",5.0,1.0,0.0
আজগর হোটেল,"Hotel, Debidwar, Bangladesh",5.0,1.0,0.0
Shibnogo,"গোমতী বেড়িবাঁধ সড়ক, Subil, Bangladesh",0.0,0.0,0.0
Burger Point Debidwar (Fast Food And Restaurant),"Z1008, Debidwar, Bangladesh",3.7,7.0,0.0
Green cuffe,"Comilla - Sylhet Hwy, Debidwar, Bangladesh",4.5,4.0,0.0
মা-বাবার দোয়া হোটেল,"JX9G+C5, Debidwar, Bangladesh",5.0,1.0,0.0
Apollo VIP Restaurant,"Comilla - Sylhet Road, Debidwar, Bangladesh",3.8,34.0,0.0
বইসা যান,"JX6G+HW7, Debidwar, Bangladesh",0.0,0.0,0.0
কুটুমবাড়ি কিংডম রেস্তোরাঁ,"Bakhrabad - Pannarpul, Debidwar, Bangladesh",3.4,14.0,0.0
